Work Order,Description,Work Type,Location
WDW1135486,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135485,Visual information facilities - Communications - Passenger Information System - Function Test,CM,707024
WDW1135484,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135483,SC_Safety Systems - AWS examine,CM,707024
WDW1135482,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135481,Passenger counting device - Inspection - Function Test,CM,707024
WDW1135480,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135479,"Indicating, recording, display devices - Smoke detectors - Function Test",CM,707024
WDW1135478,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135477,Safety systems - Smoke detectors - Clean and inspect,CM,707024
WDW1135476,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135475,Bogies - Wheel flange lubrication - Functional test,CM,707024
WDW1135474,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135473,Floor - DSD - Function test and clean,CM,707024
WDW1135472,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135471,Interior lighting equipment - Saloon emergency lighting - Inspect,CM,707024
WDW1135470,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135469,Drivers seat - Pivot adapter and height adjustment system - Service,CM,707024
WDW1135468,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135467,Floor - Cab foot rest - Function test,CM,707024
WDW1135466,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135465,Vehicle fitting out - Cab back wall door - Service,CM,707024
WDW1135464,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135463,Complete vehicle - E-cabinets including bonding connections - Inspect,CM,707024
WDW1135462,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135461,External doors - Saloon doors - Inspect,CM,707024
WDW1135460,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135459,Complete vehicle - Post works interior - Examine,CM,707024
WDW1135458,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135457,Complete vehicle - Post works exterior - Examine,CM,707024
WDW1135456,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135455,Vehicle body - Car body - Inspect,CM,707024
WDW1135454,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135453,External doors - Cab door - Inspect,CM,707024
WDW1135452,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135451,Vehicle linkage devices - Automatic coupler - Service,CM,707024
WDW1135450,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135449,SC_Power dissipation - Low resistance equipotential bonding - Examine,CM,707024
WDW1135448,"BLOCK_03 - Doors, Exam B23C",CM,707024
WDW1135447,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135446,Visual information facilities - Communications - Passenger Information System - Function Test,CM,707024
WDW1135445,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135444,SC_Safety Systems - AWS examine,CM,707024
WDW1135443,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135442,Passenger counting device - Inspection - Function Test,CM,707024
WDW1135441,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135440,"Indicating, recording, display devices - Smoke detectors - Function Test",CM,707024
WDW1135439,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135438,Safety systems - Smoke detectors - Clean and inspect,CM,707024
WDW1135437,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135436,Bogies - Wheel flange lubrication - Functional test,CM,707024
WDW1135435,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135434,Floor - DSD - Function test and clean,CM,707024
