Work Order,Description,Work Type,Location
WDW1094747,SAFETY -421- Fire extinguisher missing,CM,707020
WDW1094746,DOORS-421-Door control fault on cab GOP in coach 421,CM,707022
WDW1094745,Cab - 425001 - Door F droplight requires replacing,CM,707001
WDW1094744,Cab - 421001 - Door F droplight requires replacing,CM,707001
WDW1094743,Cab - 421001 - Door E droplight requires replacing,CM,707001
WDW1094739,UNDERFRAME-UNIT-M24 plugs to be change as per REAX006,CM,707001
WDW1094738,PIS-421-Handset defective.,CM,707020
WDW1094734,INTERIOR - Pass Comm glass broken by passenger (requires replacement),CM,707015
WDW1094711,421025- Line filter fan fault raised to book out DP station,CM,707025
WDW1094707,SAFETY- 424012- Smoke detector failure,CM,707012
WDW1094706,SAFETY- 421020-Smoke detector failure,CM,707020
WDW1094705,SAFETY- Voicemail at 0511 Vigilance self-test cancelled,CM,707009
WDW1094704,BRAKES - Loss of pneumatic brake force,CM,707023
WDW1094703,SAFETY - 421026 - Smoke detector  failure,CM,707026
WDW1094699,IMSR Down - 707025 - WIFI fault,CM,707025
WDW1094698,IMSR Down - 707017 - WIFI fault,CM,707017
WDW1094696,SAFETY - 421024 - 53210fbf  Smoke detector failure saloon end coach 421,CM,707024
WDW1094695,CAB - 425013 - Screen wash low,CM,707013
WDW1094690,DOORS – 425014 - Door locked indicator very dim in cab by E & F doors,CM,707014
WDW1094689,TRACTION - 421019 - Wash mode failure,CM,707019
WDW1094688,DOORS – 424029 - D1 door GOP will not open,CM,707029
WDW1094687,PIS – GPS Frozen,CM,707029
WDW1094686,PIS - No PIS. CSW 29 Fault on PIS panel. Soft reset carried out to no avail,CM,707029
WDW1094685,PIS - No PIS. CSW 29 Fault on PIS panel. Soft reset carried out to no avail,CM,707020
WDW1094684,SAFETY – 421029 - No sound from GSMR cab speaker. Buried cab,CM,707029
WDW1094683,PIS - 422029 - a2221b9a PIS fault in coach 422. Internal displays are not working,CM,707029
WDW1094681,SAFETY - 425029 - Loss of OTDR/JRU,CM,707029
WDW1094679,PIS - PIS fault,CM,707011
WDW1094677,SAFETY - 422 - Smoke detector fault reported,CM,707027
WDW1094673,CCTV - 421014 - CCTV monitor defective,CM,707014
WDW1094611,EXTERIOR- 424022- Diaphragm graffiti residue DEFECT 23,CM,707022
WDW1094597,DOORS- ASDO stuck in default,CM,707011
WDW1094596,DOORS- ASDO stuck in default,CM,707013
WDW1094595,HVAC - 421019 - Cab heating stuck on,CM,707019
WDW1094593,CAB- 421001- HMI blank,CM,707001
WDW1094347,421025- Line Filter Cooling - Fan controller (HE-E01)- fan 2 permanently locked out (LOM),CM,707025
WDW1094345,SAFETY- 421001- Loss of OTDR/JRU in leading coach,CM,707001
WDW1094339,SAFTY-424-Smoke detector failure,CM,707015
WDW1094338,CCTV - 422010 - DOO fault reporting,CM,707010
WDW1094337,UNDERFRAME-UNIT- M24 Screws and washers to replace,CM,707012
WDW1094322,Safety - 424025 - Smoke detector failure,CM,707025
WDW1094321,SAFETY - 425 - JRU/ATO card robbed to service 707017,CM,707012
WDW1094315,Doors - 422015 - A door fault on prep 92218FB,CM,707015
WDW1094314,SAFETY - 421025 - AWS Brake demand (X2) 3REP PAR,CM,707025
WDW1094313,POWER SUPPLY-423-BLG 1 not working,CM,707013
WDW1094310,54 25 12FB : Loss of OTDR/JRU communication - reset ok,CM,707010
WDW1094304,Underframe - 421017 - Bogie 2 lateral damper fitted incorrectly,CM,707017
WDW1094173,SAFETY-421029-Loss of OTDR/JRU,CM,707029
WDW1094170,SAFETY - 425002 - Loss of OTDR/JRU,CM,707002
WDW1094166,Interior - 422001 - joining trim missing from floor edging plate below seat,CM,707001
WDW1094161,DOORS- 7009-ONLY FRONT DOORS OPENED(LOM10/06/21),CM,707009
WDW1094160,CCTV-425023- DOO function fault,CM,707023
WDW1094156,Traction - 421001 - Unit sluggish and only showing 25% power.,CM,707001
WDW1094155,Lighting - 421030 - Unit displaying white marker light as well as red lights,CM,707030
WDW1094153,SAFETY - 421015 - OTDR/JRU fault (LOM TILL 08/06/2021),CM,707015
WDW1094148,SAFETY - 425024 - 53 25 0DCF - Smoke detector failure,CM,707024
WDW1094147,Running gear- Wheel flats/ovality check - Lathe required,CM,707012
WDW1094142,CCTV - 421021 - Both CCTV Touch screens are not working,CM,707021
WDW1094017,Power conversion - 425007 - TCU - Locked ICU,CM,707007
WDW1093892,SAFETY - 425017 - Loss of OTMR/JRU comms with DMI and ATO (NPN),CM,707017
WDW1093891,SAFETY- 425002 - Unable to hear driver on handset,CM,707002
WDW1093886,CCTV - CCTV screens not working for 4 coaches,CM,707023
WDW1093885,CCTV – 425027 - CCTV screen not working,CM,707027
WDW1093883,Doors - 707016 - only 4 / 10 doors opened at Twickenham and unable to override ASDO,CM,707016
WDW1093882,Doors - 707009 - only 4 / 10 doors opened at Twickenham and unable to override ASDO,CM,707009
WDW1093880,CCTV - 707020 - a2251b52 DOO function fault,CM,707020
WDW1093879,PIS - 422029 - PIS fault - 0xa2221b9a,CM,707029
WDW1093878,Underframe - 421022 - Wheel 4 earth return torque arm rivets loose,CM,707022
WDW1093877,Underframe - 425022 - Axle end cap leaking on wheel 8 - LOM,CM,707022
WDW1093872,Cab - 425009 - Spyglass cover missing from cab backwall door,CM,707009
WDW1093871,SAFETY - 425022 - PIS handset robbed to service 707009,CM,707022
WDW1093870,SAFETY - 421022 - PIS handset robbed to service 707009,CM,707022
WDW1093867,UNDERFRAME - Wheel lathe/ All wheels to check & turn,CM,707022
WDW1093866,BRAKES - Report of sliding under braking into platform,CM,707013
WDW1093863,INTERIOR - 424009 - Emergency lighting by 'A' door,CM,707009
WDW1093727,DOORS – Doors didn't open on whole rear unit (7002) at Upper Halliford,CM,707017
WDW1093726,CCTV – 421020 - Camera not working on 10 car. No screen in cab. With 7029,CM,707020
WDW1093675,SAFETY- 421012-AWS F7a Sunflower not changing,CM,707012
WDW1093646,Interior - 424022 - Emergency cupboard lock defective,CM,707022
WDW1093645,Underframe - 425009 - DC container screw for bottom cover sheared off,CM,707009
WDW1093644,Underframe - 425009 - Axle end cap leaking on wheel 5,CM,707009
WDW1093643,SAFETY - 421025 AWS not cancelling  (DT),CM,707025
WDW1093635,CCTV - 425023 - FF camera not showing image on screen,CM,707023
WDW1093631,Interior - 424023 - Emergency cupboard lock defective,CM,707023
WDW1093629,PIS - 425022 - Cab to cab volume very low,CM,707022
WDW1093341,Cab - 425023 - Bin panel fixings have become detached,CM,707023
WDW1093340,Underframe - 421023 - Low sand,CM,707023
WDW1093338,SAFETY - 424018 - Smoke detector failure Saloon in coach 424,CM,707018
WDW1093336,UNDERFRAME - 421011 - Wheel 1 reported by Railbam - Checks to be carried out,CM,707011
WDW1093335,CAB - 425002 - W/wiper not clearing middle of screen,CM,707002
WDW1093334,CCTV - 421009 - DOO monitor Colour dis figuration top monitor found on prep,CM,707009
WDW1093333,Interior - 425024 - BR1  key broken in cab door,CM,707024
WDW1093330,Safety - 425018 - Vigilance self test cancelled,CM,707028
WDW1093328,Safety - 424030 - Smoke detector failure,CM,707030
WDW1093327,Safety - 421030 - Smoke detector failure,CM,707030
WDW1093221,SAFETY - 421001 - PIS handset robbed to service 707025,CM,707001
WDW1093220,PIS - Cab to cab issues,CM,707015
WDW1093070,"INTERNAL-423-Smoke detector nozzle missing, A side 1st window",CM,707001
WDW1093058,SAFETY- 425012- GSMR handset volume extremely quiet,CM,707012
WDW1093055,"HVAC - 421011 - Cab too hot, HVAC will not turn temp down",CM,707011
WDW1093054,SAFETY  - DMI unresponsive (fault reported from 17/05),CM,707014
WDW1093047,DOORS- 424013- Door C coach 424 mechanically locked out of use - Door LOOU,CM,707013
WDW1093042,HVAC - 421001 - Saloon HVAC return air damper fault,CM,707001
WDW1093033,Safety - 424018 - Smoke detector failure,CM,707018
WDW1093032,Safety - 422020 - Smoke detector failure REP3,CM,707020
WDW1093030,SAFETY- 421025- JRU fault following software mod,CM,707025
WDW1092981,SAFETY- 422016- 53220f42 Smoke detector failure Saloon in coach 422,CM,707016
WDW1092861,bridge card replacement on 421 end LSER,CM,707004
WDW1092860,SAFETY- 421025- GSMR Cradle hook switch broken (PAF),CM,707025
WDW1092859,HVAC - 425028 - Cab HVAC stuck on heat,CM,707028
WDW1092858,DOORS-422-D door communication fault.,CM,707017
WDW1092856,CCTV-422- Left hand DOO camera glass broken.,CM,707017
WDW1092854,PIS - 421022 - Door control fault on cab GOP,CM,707022
WDW1092852,CAB - 421020 - Cab 240vdc plug socket not working,CM,707020
WDW1092851,Safety - 423002 - Person fallen between Train & Platform,CM,707002
WDW1092850,Cab - 421019 - Large piece of rubber in the cab - origin unknown,CM,707019
WDW1092847,Cab - 425015 - Cover with bin hanging off,CM,707015
WDW1092743,INTERIOR - 424026 First aid kit has no expiry date,CM,707026
WDW1092740,Interior - 421029 - Ceiling panel catch damaged at JRU memory module area,CM,707029
WDW1092737,"HVAC - 425028 - Cab HVAC blowing cold, not responding on HMI controls",CM,707028
WDW1092733,Cab - 425016 - DRA switch needs replaced as cracked,CM,707016
WDW1092722,Safety - 423018 - 53230ec6 Smoke detector failure Saloon in coach 423,CM,707018
WDW1092721,425 JRU memory CPMM2 module not working (see long),CM,707021
WDW1092720,Safety - 422019 - 53220f42 Smoke detector failure Saloon in coach 422,CM,707019
WDW1092719,Safety - 422020 - Smoke detector failure Saloon in coach 422 2REP,CM,707020
WDW1092718,Doors: 421021 Cab door F1 bowden cable defective.,CM,707021
WDW1092715,Cab - 425026 - Washer fluid low,CM,707026
WDW1092712,Cab - 425016 - Max speed 100MPH label damaged,CM,707016
WDW1092711,SAFETY- 421001- AWS sunflower not changing to Black (AWS F11) (LOM 17/05/2021),CM,707001
WDW1092703,UNDERFRAME-7021-Replace M24 fixings as per REAX006,CM,707021
WDW1092701,SAFETY- 422020- Smoke detector failure Saloon in coach 422,CM,707020
WDW1092698,SAFETY- 425016- JRU fault,CM,707016
WDW1092692,UNDERFRAME- 421016- Wheel Flange lubrication not working correctly on exam,CM,707016
WDW1092634,DOORS- 425021- Drivers door E DLS requires replacement as removed to use on unit 707027,CM,707021
WDW1092633,Underframe - 707021 - All Wheels to be reprofiled/Post lathe checks required,CM,707021
WDW1092621,425 HMI taken to service unit 707003,CM,707006
WDW1092620,HMI Faulty 425 coach,CM,707003
WDW1092619,423 smoke detector keeps reporting as faulty. Investigation required,CM,707019
WDW1092618,421 smoke detector has been reporting faults. Investigation required,CM,707018
WDW1092502,SAFETY - 425025 - 542512f9 Loss of OTDR/JRU in leading coach,CM,707025
WDW1092500,Doors - 421027 - Major Door E fault coach 421,CM,707027
WDW1092495,HVAC - 425028 - Cab heat/cooling controls not responding,CM,707028
WDW1092493,BLG1 RB6 not operating (see attached) see long,CM,707013
WDW1092488,DOORS - 421009 - Saloon to cab door handle has fallen off saloon side,CM,707009
WDW1092486,Underframe - 707016 - All Wheels to be reprofiled,CM,707016
WDW1092483,INTERIOR - 422030 - The bin next to doors C1-2 is not locking due to a broken lock,CM,707030
WDW1092482,JRU CPU power supply faulty. 425 JRU,CM,707016
WDW1092474,UNDERFRAME-425-Bside flange lube pipe broken,CM,707026
WDW1092473,HVAC - 425009 - Voice mail: No cab  heating HVAC blowing cold,CM,707009
WDW1092368,HVAC – 425026 - Cab HVAC controls not responsive. Requested to trip/reset cab & Saloon HVAC mcb',CM,707026
WDW1092252,CAB - 425028 - 240vdc plug socket in cab N/W,CM,707028
WDW1092250,HVAC - 425026 cab HVAC controls unresponsive,CM,707026
WDW1092243,SPSR 11 has no LED's,CM,707014
WDW1092242,SAFETY- 421018- 53 21 0FBF - Smoke detector failure saloon end coach 421,CM,707018
WDW1092206,Format both JRU'S,CM,707029
WDW1092097,Cab - 421014 - Bin panel hooks detached,CM,707014
WDW1092095,HVAC - 423015 - Saloon HVAC unresponsive,CM,707015
WDW1091962,INTERIOR- Burning smell reported,CM,707022
WDW1091961,INTERIOR- Burning smell reported,CM,707018
WDW1091960,SAFETY- 421022- GSM-R sound only coming out of handset and call does not cut off when handset reset.,CM,707022
WDW1091959,CAB- 421022- Plug socket in cab not working,CM,707022
WDW1091958,PIS- 425012- Cab handset not working. Orange button when pressed does not state speak,CM,707012
WDW1091773,BOGIE-424-Bogie 1 wheel 7 & 8 primary vertical dampers leaking to be replaced.,CM,707027
WDW1091771,UNDERFRAME-421&425-MRPIC stickers in incorrect position.,CM,707015
WDW1091769,425026- Drivers call LED not working on PIS,CM,707026
WDW1091768,UNDERFRAME-421-Bogie 2 wheels to reprofile RCF,CM,707030
WDW1091766,Cab - 425020 - HMI Blank,CM,707020
WDW1091765,Safety - 425009 - AWS sunflower not working,CM,707009
WDW1091764,Safety - 425009 - DMI / AWS / OTDR Faults(LOM 15/05),CM,707009
WDW1091760,Safety - 425001 - GSMR no sound out of speaker,CM,707001
WDW1091759,PIS 425017 - PA not working from CAB handset,CM,707017
WDW1091758,PIS - 425026 Cab to cab not working,CM,707026
WDW1091755,CAB – 425025 - 240 v socket not working in cab,CM,707025
WDW1091754,SAFETY – 421025 - Unable to cancel AWS,CM,707025
WDW1091752,SAFETY - 421022 - GSM-R sound only coming out of handset,CM,707022
WDW1091751,PIS -  PIS screens blank throughout,CM,707028
WDW1091740,CCTV- DOO fault on HMI prep fault,CM,707015
WDW1091736,CAB - 421 - Drivers seat difficult to turn,CM,707023
WDW1091735,PIS - 421 - PA cutting out when cab handset used.,CM,707030
WDW1091617,,CM,
WDW1091611,UNDERFRAME- 421018 by wheel 8 arc shield found cracked,CM,707018
WDW1091393,CAB - 425009 -Driver seat defective,CM,707009
WDW1091392,Brakes - 425027 - Brake cylinder/actuator making clunking sound when brake engaging,CM,707027
WDW1091388,A1 SPSR to be formatted (see attached screenshot),CM,707014
WDW1091378,Cab - 421018 - Missing coat hook,CM,707018
WDW1091285,Lighting - 423026 - Roof light near Saloon doors B + C not working,CM,707026
WDW1091240,PIS- 423017-  A2 23 1B81 ; PIS Internal displays are not working in affected coach.(REPEAT),CM,707017
WDW1091237,CAB- 421011- When PBC set to emergency there is no notification on DMI,CM,707011
WDW1091236,SAFETY- 421022- GSMR silent,CM,707022
WDW1091235,BOGIE-421-Bogie2 Aside left handed arc shield cracked,CM,707013
WDW1091233,BOGIE-421- Bogie1 Left hand arc shield cracked. 24/04/21,CM,707013
WDW1091232,BOGIE-424013-Wheel 8 Primary damper unacceptable leaking.,CM,707013
WDW1091230,"SAFETY – 421022 - PA handset at ""B"" doors not working",CM,707022
WDW1091229,Cab - 421021 - WSP detected blue message on HMI (will not clear),CM,707021
WDW1091221,DOORS - Multiple door faults see comments,CM,707029
WDW1091220,UNDERFRAME - 421029 - Bogie 2 Restricted Air Spring control coach 421,CM,707029
WDW1091219,DOORS - 425002 - Cab door F communication failure coach 425,CM,707002
WDW1091215,Interior - 707027 - internal window film needs replaced throughout unit due to non offensive graffit,CM,707027
WDW1091213,CAB-425-Plug socket in cab not working.,CM,707014
WDW1091212,BOGIE-424-Bogie 1 wheel 7 & 8 primary vertical dampers leaking to be replaced.,CM,707027
WDW1091211,BOGIE-423-Bogie2 wheel 5 earth return torque arm broken.,CM,707027
WDW1091210,UNDERFRAME - 421027 - Flange lube pipe bogie 1 R/H side broken,CM,707027
WDW1091209,SAFETY - 421022 - HMI blank and not responding (reset ok on MCB),CM,707022
WDW1091204,"CAB - 425 - Level on Left hand side of driver's seat ""sticking out""",CM,707022
WDW1091094,"POWER SUPPLY-425-Arc shield cracking, Bogie 2 Aside. Lefthand arc shield.",CM,707024
WDW1091091,COUPLER- 425012- Unable to couple to 707023,CM,707012
WDW1090974,UNDERFRAME - Wheel lathe required all axles,CM,707013
WDW1090864,SAFETY - Interlock lights and signal bells not working,CM,707028
WDW1090739,SAFETY- 425012- GSMR  Speaker not working trip and reset advised.,CM,707012
WDW1090727,"BRAKES-425-	Emergency brake applied on coach 425 due to failure of contactor -JA-K04/K05.",CM,707011
WDW1090726,UNDERFRAME-7010-All wheels to reprofile,CM,707010
WDW1090725,SAFETY - 421024 - DMI Not working (wrong end reported fault on 425),CM,707024
WDW1090723,HVAC - 425019 - Cab HVAC blowing cold,CM,707019
WDW1090711,UNDERFRAME-7020-Replace M24 fixings as per REAX006,CM,707020
WDW1090710,UNDERFRAME-425-Flange lube hose broken Aside,CM,707025
WDW1090707,Cab - 425024 - Screen wash not working correctly,CM,707024
WDW1090706,Safety - 421024 - DMI displaying 2 x AWS visual indictors + blue screen,CM,707024
WDW1090701,PIS - 425028 - PIS fault reported during prep,CM,707028
WDW1090700,SAFETY - 421014 - GSM-R handset button stiff to operate,CM,707014
WDW1090699,UNDERFRAME - 422012 - Wheel flats reported,CM,707012
WDW1090698,"SAFETY - 421016 - AWS sunflower remained all black when AWS reset, Code 7a",CM,707016
WDW1090694,BRAKES - 425025 - Brake test locked up,CM,707025
WDW1090687,Cab - 421028 - Cup holder above screen wash top up missing in cab,CM,707028
WDW1090684,CAB - 421028 - Screenwash level low,CM,707028
WDW1090677,CCTV - DOO CCTV  not working,CM,707016
WDW1090676,"DOORS - 421012 - Guard reported debris preventing doors closing ""C"" doors",CM,707012
WDW1090675,BRAKES - 421012 - Brake gauge only showing 1.2 bar when in full service,CM,707012
WDW1090566,Interior - 424028 - First aid kit out of date,CM,707028
WDW1090563,SAFETY - 425012 - GSMR Speaker not working,CM,707012
WDW1090561,PIS - 425001 - Cab to cab handset button faulty,CM,707001
WDW1090560,SAFETY - 421024 - GSMR defect,CM,707024
WDW1090530,DEMOBILISATION - INT- 425007 Grab handle damage DEFECT 1,CM,707007
WDW1090416,UNDERFRAME - Wheel Lathe required - Ovality & chamfer loss,CM,707027
WDW1090415,"UNDERFRAME - Wheel lathe, all wheels to be turned & post lathe",CM,707020
WDW1090413,Power Conversion - Brake resistor,CM,707020
WDW1090411,Flats to be checked on 425,CM,707010
WDW1090409,"SAFETY- 4250014- GSMR no ""clicks""",CM,707014
WDW1090401,"Safety - 421025 - GSMR no radio ""clicks""",CM,707025
WDW1090229,CAB-425001-HMI Blank,CM,707001
WDW1090225,HVAC - Vehicle 425019 - DMOS-B - No Cab heating,CM,707019
WDW1090224,PIS-425008 PA handset robbed to service 707014,CM,707008
WDW1090223,PIS - 707014L - Driver unable to hear guard via intercom,CM,707014
WDW1090111,Underframe - 707007 - Carry out RAAP010 following 10mm shimming mod,CM,707007
WDW1090110,Interior - 707007 - Carry out RAAP009 following 10mm shimming mod,CM,707007
WDW1090108,Interior - 421008 - Roof panel closing catch sticking +65.90,CM,707008
WDW1090100,SAFETY - 425030 - GSM-R handset faulty,CM,707030
WDW1090099,(RAR) HVAC- 425008- HVAC controller network check to be carried out,CM,707008
WDW1090097,DOORS-425-E Door SWT check/repair cab door drop light,CM,707001
WDW1090095,Exterior - 425009 - External graffiti,CM,707009
WDW1090093,Cab - 425014 - Air leak heard in cab,CM,707014
WDW1090092,(GB8:INS70003) Underframe - 707001 - TCU lifting point labels need replaced as faded,CM,707001
WDW1090052,PIS- 423017 - Screens not working,CM,707017
WDW1090044,HVAC - 425019 - Cab HVAC noisy (LOM 27/03/21),CM,707019
WDW1090041,UNDERFRAME-423-Leaking vertical damper Bogie1 Right side,CM,707022
WDW1090040,UNDERFRAME-421-Leaking Vertical damper Bogie2 Left side.,CM,707022
WDW1090032,DOORS - Vehicle 421021 - DMOS-A - Unable to access cab from saloon. Key would go in but not turn,CM,707021
WDW1090025,HVAC - 425016 - No cab heat,CM,707016
WDW1090024,Safety - 421009 - No audible GSMR beeps,CM,707009
WDW1089801,CCTV - 425009 - DOO camera failed,CM,707009
WDW1089799,Interior - 424010 - First aid kit to replace as has no expiry date,CM,707010
WDW1089797,SAFETY - 425029 GSM-R handset defective,CM,707029
WDW1089785,raised in error,CM,
WDW1089784,POWER SUPPLY-423- RHCX012 to be carried out.,CM,707001
WDW1089782,CCTV - 421008 DOO - B side DOO camera not working,CM,707008
WDW1089779,"CAB - 425020 HMI screen red, all functions still working",CM,707020
WDW1089778,SAFETY-421-MO-AWS F11 sunflower not changing to BLACK at a clear signal.,CM,707001
WDW1089754,Doors-7028-the interlock light is not working on any panels in this unit,CM,707028
WDW1089745,PIS- 425011- PA handset in Cab unable to activate by using orange middle button. Thus unable,CM,707011
WDW1089744,POWER SUPPLY- 43 23 0A20: 110V DC earth fault - Do not electrically couple,CM,707027
WDW1089741,POWER SUPPLY - 110v earth fault,CM,707028
WDW1089740,"SAFETY- 421024- GSMR loudspeaker / button issue, not beeping (1st REPEAT)",CM,707024
WDW1089673,DEMOBILISATION- INTERIOR- 422009 Dado- DEFECT 12,CM,707009
WDW1089654,SAFETY- 421021- No Audible sound from GSMR Cab speaker. GSMR Rebooted and now ok,CM,707021
WDW1089622,UNDERFRAME- 421001- Station overshot - poor railhead conditions,CM,707001
WDW1089621,CAB-425-Wipers only working on back up system,CM,707012
WDW1089620,UNDERFRAME-421/425- Wheels out of tolerance Lathe required,CM,707019
WDW1089619,UNDERFRAME-421-Bogie1 Left-hand arc shield cracked around fixings,CM,707019
WDW1089618,Brakes-421-Aut. brake test of emerg. loop interv. on all coaches  failed (PAR),CM,707021
WDW1089616,Underframe - 707023 - Replace bolts as per REAX006,CM,707023
WDW1089608,SAFETY - Vehicle 425001 - DMOS-B - 54 21 12FD: Loss of OTDR/JRU in leading coach,CM,707001
WDW1089605,HVAC - 421018 - Cab HVAC stuck on max heat unable to reset(LOM 16/03),CM,707018
WDW1089600,DOORS - 424007 - Door communication issues -,CM,707007
WDW1089595,POWER - 707021L - Reduced 3 phase fault reported on prep (voicemail) (LOM 19/03),CM,707021
WDW1089592,Underframe - 707011 - Replace bolts as per REAX006,CM,707011
WDW1089587,HVAC - 421028 - Unable to adjust cab heat on HMI,CM,707028
WDW1089366,'++RB6 Battery Control - Charger 2: demand and feedback are not the same (auto generated),CM,707011
WDW1089294,PIS - 425016 - Cab to cab handset,CM,707016
WDW1089193,POWER SUPPLY- 425010- 22 25 045E: MCB HSCB control tripped in end coach 425 (1st REPEAT),CM,707010
WDW1089192,CCTV- 421028- Prep fault Top CCTV monitor frozen,CM,707028
WDW1089171,POWER CONVERSION - 707023 - RB1 - Error motor encoder,CM,707023
WDW1089170,UNDERFRAME- Wheels require the lathe,CM,707023
WDW1089150,Safety - 421027 - GSMR handset PTT stiff and not releasing,CM,707027
WDW1089149,CCTV - 422020 - DOO camera side A requires replacing - NPN,CM,707020
WDW1089083,"BRAKES- 425011- HMI displaying 	Emergency brake applied on coach 425",CM,707011
WDW1089081,SAFETY- 421024- GSMR buttons not making clicking noise.,CM,707024
WDW1089080,CAB - 421024- DMI Issues see long description,CM,707024
WDW1089072,Duplicated Work Order as WDW1085585 'Closed' in error without stores being booked out to work order,CM,707007
WDW1089071,Duplicated Work Order as WDW1089051 'Closed' in error without stores being booked out to work order,CM,707016
WDW1089054,UNDERFRAME-7015-All wheels to reprofile on lathe.,CM,707015
WDW1089053,UNDERFRAME-7011-All wheels to reprofile on lathe.,CM,707011
WDW1089052,CAB - 421024 - Strange noise behind drivers desk (Rodent?),CM,707024
WDW1089051,DOORS - 425016 - D door GOP door will not secure,CM,707016
WDW1088903,BCU - Medium Fault Smart Valve  - 423013,CM,707013
WDW1088902,BCU - Minor Fault Gateway Valve  - 425027,CM,707027
WDW1088901,BCU - Gateway Valve Load detection Fault - 421007,CM,707007
WDW1088900,INTERIOR- 425001- 230v Socket hanging down from seat,CM,707001
WDW1088878,UNDERFRAME - 421015 - slight vibration below cab at speeds above 50mph,CM,707015
WDW1088872,HVAC- 422026- Unable to connect to HVAC found on exam,CM,707026
WDW1088870,POWER - 425010 HSCB tripped out,CM,707010
WDW1088857,HEADLIGHT - Broken headlight unit - repair required,CM,BROKEN-WD
WDW1088856,Exterior - 423017 - 3 x External emergency door release label damaged,CM,707017
WDW1088855,Underframe - 421017 - Primary damper at wheel 8 to replace. Leaking,CM,707017
WDW1088853,HVAC- 423021 wash mode fault RAR,CM,707021
WDW1088849,CAB - 421018 - PBC spring defective,CM,707018
WDW1088848,PIS - PIS screens not working,CM,707027
WDW1088847,PIS - PIS screens not working,CM,707013
WDW1088799,Underframe - 707002 - Wheels out of tolerance - LATHE,CM,707002
WDW1088797,POWER COVERSION - 421002- Line contactor ark chute 421 end found to be cracked on the left contactor,CM,707002
WDW1088785,SAFETY- 425008- AWS Sunflower not changing to black/yellow on caution signals,CM,707008
WDW1088692,PIS - 421027 - Cab-cab not working,CM,707027
WDW1088657,PIS- 421029- PA handset not working,CM,707029
WDW1088650,PIS- 424008- PA Speakers not working in this carriage.,CM,707008
WDW1088647,CAB - 421019 - Question marks in line voltage gauge,CM,707019
WDW1088537,Doors-421028 GOP'D' Door requires renewal,CM,707028
WDW1088536,UNDERFRAME-422-Bogie2 LH secondary damper leaking.,CM,707007
WDW1088535,UNDERFRAME-424-Bogie1 RH Secondary damper leaking,CM,707007
WDW1088534,PIS - 425025 - PA handset defective,CM,707025
WDW1088533,PIS - 421007 - Car controller robbed fro service unit,CM,707007
WDW1088532,POWER SUPPLY - 421007 - Disconnector terminal fixing nuts pulled out of the body.,CM,707007
WDW1088530,CAB-421/425-Mind the gap label missing from newly fitted droplights,CM,707021
WDW1088529,PIS - 421028 - No cab-cab PA light on,CM,707028
WDW1088528,PIS - 425028 - Cab handset not working,CM,707028
WDW1088464,SAFETY- 421030- 54 21 12FE: Loss of OTDR/JRU in trailing coach (buried cab),CM,707030
WDW1088463,PIS- 425023- GOP PA defect,CM,707023
WDW1088461,PIS-421-D door GOP lock defective.,CM,707012
WDW1088459,INTERIOR - 421 - Bin access panel W/N remain closed.(C door),CM,707022
WDW1088458,UNDERFRAME-425-Bogie1 B side arch shield damaged,CM,707021
WDW1088457,,CM,707008
WDW1088456,,CM,707008
WDW1088455,UNDERFRAME-425-Bogie2 B side secondary damper leaking.,CM,707021
WDW1088454,UNDERFRAME-425-Bogie 1 B side Secondary damper leaking,CM,
WDW1088453,CCTV - 425018 - B side DOO camera not working(NPN),CM,707018
WDW1088451,INT - EDRP - WIFI CHECK REQUIRED,CM,707018
WDW1088448,WHEELS - 422012 - Hot axle box detection,CM,707012
WDW1088445,CCTV - A2 25 1B52: DOO function fault,CM,707010
WDW1088439,DOORS - 425018 Cab GOP Fault 91 25 16 B6,CM,707018
WDW1088434,Doors - 421022 - Door control fault on cab GOP,CM,707022
WDW1088432,DOORS - 421015 - Door control fault cab desk left,CM,707015
WDW1088431,Underframe - 421029 - Bogie 1 B side vertical damper leaking,CM,707029
WDW1088428,PIS - Displays blank,CM,707011
WDW1088422,421 shows as coupled when not coupled. LOM 07/03/21,CM,707009
WDW1088392,DOOR - 422024- Lock not working for GOP at B1 door,CM,707024
WDW1088311,BRAKES- 421022- UBA unable to release brakes,CM,707022
WDW1088310,PIS - 707028 - PIS not showing information on screens - audio still working,CM,707028
WDW1088301,Brakes - 422016 - Bogie 1 Failed on RRBX010 gateway valve calibrate,CM,707016
WDW1088299,A1-CS not available(auto generated),CM,707007
WDW1088298,Coupler - 425007 - ETB wiring fault,CM,707007
WDW1088286,"SAFETY - 421014- ""GSMR failure"" on display of middle cab",CM,707014
WDW1088258,DOOR - 421002- 912116f0 Door control fault on cab GOP in coach 421,CM,707002
WDW1088250,wifi router requires checking. Email sent from icomera.,CM,707018
WDW1088249,HVAC - 421018- Cab heat not working. Requested to trip/r cab & saloon hvac mcb's. Cab is buried,CM,707018
WDW1088247,SAFETY - 425030 - No SPCS,CM,707030
WDW1088246,UNDERFRAME - 425030 - ELV - inflates/deflates constantly,CM,707030
WDW1088200,DC container - FB-Q13 cable insulation - inspect,CM,707007
WDW1088197,,CM,707001
WDW1088196,,CM,707004
WDW1088195,"PIS - 425012 - Orange button on cab handset does not click in, no PA or cab to cab",CM,707012
